lat,long,depth,press,SA,CT,sigma0
18.00102,-109.9993,78.544,79.033,34.710567,15.44774052,25.52842155
18.00102,-109.9993,79.45,79.944,34.71913845,15.42477187,25.54005282
18.00102,-109.9993,80.475,80.976,34.73273782,15.40825934,25.55406884
18.00102,-109.9993,81.477,81.985,34.74422644,15.32658329,25.58094134
18.00102,-109.9993,82.508,83.022,34.75722318,15.13903923,25.63224318
18.00104,-109.9993,83.466,83.986,34.75213178,15.11811548,25.63296779
18.00104,-109.9993,84.469,84.996,34.75899859,15.08768145,25.64487947
18.00104,-109.9993,85.5,86.033,34.7816411,14.93442342,25.69565657
18.00104,-109.9993,86.471,87.011,34.78539209,14.91167846,25.70347283
18.00104,-109.9993,87.457,88.004,34.77969883,14.93687558,25.69364227
18.00104,-109.9993,88.403,88.955,34.77993223,14.94372771,25.69232503
18.00104,-109.9993,89.439,89.998,34.79986218,14.79955377,25.73887621
18.00104,-109.9993,90.476,91.041,34.84631802,14.37923695,25.86467863
18.00104,-109.9993,91.352,91.924,34.83921436,14.37037981,25.86114574
18.00104,-109.9993,92.389,92.967,34.84266622,14.41774195,25.85367935
18.00104,-109.9993,93.403,93.988,34.87555709,14.03822778,25.95914503
18.00104,-109.9993,94.451,95.042,34.87770317,13.98553159,25.97183759
18.00104,-109.9993,95.222,95.819,34.86738062,14.02166017,25.95637733
18.00104,-109.9993,96.386,96.99,34.87033451,13.98442601,25.96644001
18.00104,-109.9993,97.36,97.971,34.87619576,13.82537304,26.00411915
18.00104,-109.9993,98.416,99.034,34.87512688,13.77755553,26.01323707
18.00104,-109.9993,99.184,99.806,34.8644022,13.88017848,25.98369324
18.00104,-109.9993,100.363,100.993,34.86956716,13.80770026,26.00272688
18.00104,-109.9993,101.481,102.119,34.86980326,13.68885988,26.02753713
18.00104,-109.9993,102.14,102.781,34.86389571,13.75368958,26.00960141
18.00104,-109.9993,103.381,104.031,34.86956146,13.65510187,26.03432422
18.00104,-109.9993,104.259,104.914,34.86928756,13.64348582,26.03651131
18.00105,-109.9993,105.248,105.91,34.86982102,13.63273481,26.03913621
18.00106,-109.9993,106.344,107.013,34.87025733,13.62277084,26.04152358
18.00106,-109.9993,107.324,107.999,34.87038857,13.61802926,26.04260091
18.00106,-109.9993,108.31,108.992,34.87202719,13.61105225,26.04529135
18.00106,-109.9993,109.308,109.996,34.87748435,13.57889261,26.05608418
18.00106,-109.9993,110.318,111.013,34.88042995,13.55478789,26.06329221
18.00106,-109.9993,111.349,112.051,34.89071116,13.47583001,26.08735074
18.00104,-109.9993,112.251,112.959,34.89375385,13.44624266,26.09573201
18.00104,-109.9993,113.255,113.969,34.89569448,13.41946604,26.10268806
18.00104,-109.9993,114.236,114.957,34.89763441,13.38269718,26.11167439
18.00104,-109.9993,115.264,115.992,34.89736528,13.37466147,26.11310616
18.00104,-109.9993,116.285,117.019,34.89830165,13.35840273,26.11713469
18.00104,-109.9993,117.279,118.02,34.89923721,13.34164816,26.12126105
18.00104,-109.9993,118.253,119,34.89916732,13.33731443,26.12208921
18.00104,-109.9993,119.241,119.996,34.89899745,13.33657918,26.12210874
18.00104,-109.9993,120.263,121.024,34.8992305,13.33043266,26.12353723
18.00104,-109.9993,121.231,121.998,34.89996426,13.3122879,26.12778721
18.00104,-109.9993,122.233,123.007,34.90059864,13.2971394,26.1313497
18.00104,-109.9993,123.241,124.022,34.90213752,13.26897599,26.13824247
18.00104,-109.99929,124.206,124.993,34.90397647,13.22162221,26.14924212
18.00104,-109.99928,125.195,125.988,34.90471089,13.20777399,26.1526055
18.00104,-109.99928,126.208,127.008,34.90513161,13.19492916,26.1555241
18.00104,-109.99928,127.169,127.976,34.90555123,13.18389081,26.15807546
18.00104,-109.99928,128.148,128.961,34.90617212,13.17054695,26.1612452
18.00104,-109.99928,129.146,129.965,34.90699432,13.15579687,26.16485112
18.00104,-109.99928,130.182,131.008,34.90731483,13.14595026,26.16708227
18.00104,-109.99928,131.157,131.99,34.90773471,13.13481076,26.16964914
18.00104,-109.99928,132.179,133.019,34.91026553,13.09473404,26.17965596
18.00104,-109.99928,133.232,134.079,34.91480653,13.03691951,26.19474749
18.00104,-109.99928,134.251,135.105,34.91653346,13.0006615,26.20333736
18.00104,-109.99928,135.082,135.942,34.91654877,12.96017167,26.21144893
18.00104,-109.99928,136.104,136.97,34.92319929,12.90961394,26.2266386
18.00104,-109.99928,137.109,137.982,34.92794038,12.85760415,26.24063027
18.00104,-109.99928,138.074,138.954,34.92836009,12.84147289,26.24415921
18.00104,-109.99928,139.096,139.983,34.9294842,12.81262741,26.25074988
18.00104,-109.99928,140.107,141,34.92950281,12.77571469,26.25808343
18.00104,-109.99928,141.119,142.019,34.93153107,12.7284654,26.26898878
18.00104,-109.99928,142.122,143.029,34.9333582,12.69821016,26.27636605
18.00104,-109.99928,143.043,143.956,34.93437998,12.6543952,26.28578839
18.00104,-109.99927,144.031,144.951,34.93480011,12.62197634,26.29249051
18.00104,-109.99926,145.075,146.002,34.9350203,12.60843992,26.29532033
18.00104,-109.99926,146.08,147.013,34.9350388,12.60290715,26.2964216
18.00103,-109.99926,147.078,148.018,34.93505719,12.59058078,26.29885652
18.00102,-109.99926,148.084,149.031,34.93507573,12.58235015,26.30048636
18.00102,-109.99926,149.055,150.008,34.93539505,12.57461745,26.30224868
18.00102,-109.99927,150.044,151.004,34.93531276,12.56399358,26.30426917
18.00102,-109.99928,151.008,151.975,34.93532267,12.55477001,26.30608488
18.00102,-109.99928,152.029,153.003,34.93603652,12.53053625,26.3113794
18.00102,-109.99928,153.031,154.011,34.93634825,12.50761335,26.31610336
18.00102,-109.99928,154.008,154.995,34.93495155,12.47004446,26.32237032
18.00102,-109.99928,154.996,155.99,34.93476073,12.43364728,26.32932084
18.00102,-109.99927,155.979,156.979,34.9359766,12.40851068,26.33514817
18.00102,-109.99926,156.967,157.974,34.93548434,12.37621761,26.34104837
18.00102,-109.99926,157.973,158.987,34.93569564,12.34190928,26.34786945
18.00102,-109.99926,159.005,160.026,34.93490238,12.30752005,26.35392327
18.00102,-109.99926,160.014,161.042,34.9346113,12.2877097,26.35753276
18.00102,-109.99926,161.042,162.077,34.93401897,12.27439743,26.3596514
18.00102,-109.99927,161.791,162.831,34.9338257,12.27729841,26.35894226
18.00102,-109.99928,162.936,163.984,34.93263168,12.26108651,26.36115737
18.00102,-109.99928,163.912,164.966,34.93264169,12.25985681,26.36140255
18.00102,-109.99928,164.899,165.96,34.93275231,12.2556263,26.3623044
18.00102,-109.99928,165.891,166.959,34.93125528,12.21906228,26.36820735
18.00102,-109.99928,166.906,167.981,34.93116522,12.15319524,26.38081044
18.00102,-109.99928,167.929,169.011,34.93157765,12.13267112,26.38506739
18.00102,-109.99928,168.919,170.008,34.93108541,12.1157674,26.38793103
18.00102,-109.99928,170.086,171.183,34.92979113,12.08826876,26.3922042
18.00102,-109.99928,170.812,171.914,34.93070292,12.10163863,26.39034465
18.00102,-109.99928,171.877,172.986,34.92860374,12.07946565,26.3929764
18.00102,-109.99928,172.903,174.019,34.92821234,12.04487487,26.39928839
18.00102,-109.99928,173.874,174.996,34.92782038,12.03666349,26.40055516
18.00102,-109.99928,174.892,176.022,34.92672549,12.01507539,26.40383283
